postcode,sector,average_household
RG7 3BE,RG7 3,11.0
CT12 5JW,CT12 5,7.0
NW11 6XS,NW11 6,9.0
SP11 8EG,SP11 8,7.0
E2 7DJ,E2 7,14.0
CM15 0SX,CM15 0,12.0
RG41 5RT,RG41 5,10.0
ME16 0HF,ME16 0,15.0
BN2 4LP,BN2 4,20.0
E17 6EZ,E17 6,17.0
UB9 5NN,UB9 5,10.0
PO9 3SF,PO9 3,16.0
HA3 7QA,HA3 7,14.0
ME13 9DR,ME13 9,7.0
SE28 0ED,SE28 0,16.0
W11 4QD,W11 4,12.0
IG8 9AT,IG8 9,14.0
RG14 6BD,RG14 6,13.0
SE13 5QS,SE13 5,17.0
N10 3BQ,N10 3,12.0
GU9 0HE,GU9 0,12.0
SO19 6DX,SO19 6,15.0
SO31 4RB,SO31 4,12.0
W1U 6PG,W1U 6,3.0
TW18 3AS,TW18 3,9.0
CT20 3JG,CT20 3,10.0
CR2 8BE,CR2 8,16.0
CT15 7QG,CT15 7,7.0
SE1 2PY,SE1 2,11.0
SL4 4QH,SL4 4,11.0
SO16 9FT,SO16 9,17.0
ME12 4NP,ME12 4,11.0
TW12 1AX,TW12 1,11.0
SS16 4ET,SS16 4,17.0
HP17 8SS,HP17 8,9.0
SM2 6GE,SM2 6,14.0
SL4 2BA,SL4 2,10.0
NW3 1LE,NW3 1,8.0
E17 4BZ,E17 4,17.0
CT14 9JZ,CT14 9,17.0
GU12 6LJ,GU12 6,13.0
SW6 5PQ,SW6 5,12.0
KT18 7DA,KT18 7,12.0
DA16 2AY,DA16 2,22.0
SW11 3LX,SW11 3,15.0
EC4A 2LT,EC4A 2,
KT11 2TD,KT11 2,11.0
TN23 5DB,TN23 5,19.0
CT5 4RF,CT5 4,15.0
W9 2PF,W9 2,17.0
PO32 6HS,PO32 6,14.0
GU9 8PU,GU9 8,11.0
BN2 9ZE,BN2 9,20.0
GU9 8HD,GU9 8,11.0
TN20 6RJ,TN20 6,7.0
W1S 2PG,W1S 2,
CR2 0PW,CR2 0,15.0
NW6 5ZG,NW6 5,14.0
GU10 1AL,GU10 1,8.0
SL1 7NB,SL1 7,12.0
TW13 4DF,TW13 4,15.0
RM12 6LQ,RM12 6,14.0
E1W 2QH,E1W 2,10.0
GU14 7NP,GU14 7,8.0
SL6 0HJ,SL6 0,8.0
TN8 5QG,TN8 5,8.0
KT11 3DY,KT11 3,6.0
PO18 8DU,PO18 8,9.0
BN12 4HU,BN12 4,11.0
PO8 0HQ,PO8 0,10.0
MK18 4QX,MK18 4,6.0
SW1W 0PP,SW1W 0,2.0
IG3 8AD,IG3 8,15.0
SO45 1RS,SO45 1,14.0
RM12 4YR,RM12 4,18.0
RH5 6DN,RH5 6,6.0
CT14 6LJ,CT14 6,10.0
N11 2QG,N11 2,14.0
SO22 4BP,SO22 4,17.0
BR2 7JF,BR2 7,14.0
TW8 8LL,TW8 8,9.0
E1W 1YG,E1W 1,9.0
SO41 9LR,SO41 9,9.0
RH14 0SL,RH14 0,8.0
DA1 5RS,DA1 5,13.0
CR7 8SB,CR7 8,19.0
CT10 3EU,CT10 3,13.0
BN8 4DA,BN8 4,9.0
ME14 3DN,ME14 3,5.0
SW11 6QE,SW11 6,15.0
SO30 0DA,SO30 0,15.0
SL1 3BU,SL1 3,13.0
PO13 9FX,PO13 9,15.0
GU34 1FE,GU34 1,9.0
GU7 2BY,GU7 2,9.0
E1 7HW,E1 7,6.0
GU9 7BU,GU9 7,7.0
SL4 5LH,SL4 5,11.0
HP19 0WJ,HP19 0,12.0
W11 1AL,W11 1,15.0
SM1 4QR,SM1 4,13.0
E1W 1UG,E1W 1,9.0
TW20 0EE,TW20 0,10.0
RH12 1QD,RH12 1,9.0
NW11 6UY,NW11 6,9.0
HP17 8AG,HP17 8,9.0
ME12 4JY,ME12 4,11.0
WC1E 6JB,WC1E 6,4.0
N7 8RB,N7 8,16.0
KT13 9YJ,KT13 9,9.0
KT12 5NT,KT12 5,12.0
BR1 4BY,BR1 4,19.0
SE1 0EP,SE1 0,6.0
UB5 5TJ,UB5 5,15.0
E1 3BX,E1 3,12.0
SL7 2UW,SL7 2,7.0
BN8 6BW,BN8 6,8.0
RH6 7EX,RH6 7,9.0
BN24 6SN,BN24 6,11.0
TN34 3HN,TN34 3,17.0
CT12 4DD,CT12 4,13.0
OX10 7QJ,OX10 7,10.0
RG31 6JY,RG31 6,15.0
SS7 3BE,SS7 3,14.0
SO31 9AX,SO31 9,12.0
SW16 6BF,SW16 6,17.0
N15 6EB,N15 6,16.0
E1W 2AB,E1W 2,10.0
RG14 1UN,RG14 1,9.0
CT6 5QN,CT6 5,11.0
W12 9XP,W12 9,18.0
SP10 4BG,SP10 4,15.0
RG42 3RF,RG42 3,14.0
GU16 8SX,GU16 8,16.0
BN6 8LB,BN6 8,12.0
N15 4JW,N15 4,12.0
RG20 8UP,RG20 8,5.0
E6 6LE,E6 6,19.0
PO2 7BG,PO2 7,19.0
SO45 5TH,SO45 5,13.0
TW3 3EJ,TW3 3,12.0
GU26 6PG,GU26 6,9.0
BN41 2YS,BN41 2,20.0
SW19 3UB,SW19 3,12.0
RH20 3GT,RH20 3,9.0
DA11 9NJ,DA11 9,15.0
SO51 8EJ,SO51 8,7.0
ME7 1HH,ME7 1,14.0
RG7 3TP,RG7 3,11.0
CT11 9JR,CT11 9,10.0
RM18 7NJ,RM18 7,10.0
NW10 7SL,NW10 7,3.0
SO51 8AQ,SO51 8,7.0
HA9 9JX,HA9 9,11.0
SO19 6EX,SO19 6,15.0
BR4 9LJ,BR4 9,14.0
SS7 5RZ,SS7 5,15.0
HA8 9JU,HA8 9,12.0
GU11 3XE,GU11 3,15.0
PO9 2EW,PO9 2,13.0
NW10 6RJ,NW10 6,4.0
BN25 4NU,BN25 4,7.0
CT20 3HU,CT20 3,10.0
RG6 3BW,RG6 3,15.0
KT2 5NA,KT2 5,16.0
SO18 3NU,SO18 3,17.0
RM14 3TB,RM14 3,13.0
KT5 8PQ,KT5 8,15.0
SW20 8YH,SW20 8,15.0
PO19 6YN,PO19 6,13.0
DA11 8EL,DA11 8,15.0
W11 4HF,W11 4,12.0
E1 4PP,E1 4,14.0
SO21 3QF,SO21 3,8.0
SW11 5HH,SW11 5,20.0
RG9 1LT,RG9 1,11.0
RM5 3FZ,RM5 3,15.0
RG1 3NX,RG1 3,9.0
KT4 8HZ,KT4 8,20.0
SE22 8HP,SE22 8,13.0
SO19 9NQ,SO19 9,18.0
DA1 2PQ,DA1 2,15.0
SO52 9GY,SO52 9,15.0
SW9 6AG,SW9 6,8.0
TW2 5AN,TW2 5,12.0
HP27 9SL,HP27 9,8.0
SL2 2LA,SL2 2,15.0
NW10 5QN,NW10 5,16.0
W2 1AH,W2 1,9.0
TN8 6QT,TN8 6,7.0
SE4 1DY,SE4 1,20.0
SO53 1TD,SO53 1,12.0
BN22 7AT,BN22 7,10.0
E6 6LJ,E6 6,19.0
TW1 4AZ,TW1 4,10.0
E4 6TY,E4 6,19.0
RG14 7PU,RG14 7,11.0
OX9 3EP,OX9 3,10.0
RG12 7BW,RG12 7,20.0
ME7 3DA,ME7 3,14.0
E17 7QG,E17 7,14.0
RH10 4QL,RH10 4,7.0
KT13 8QZ,KT13 8,9.0
ME14 2TF,ME14 2,14.0
NW1 9QW,NW1 9,12.0
RH11 9HT,RH11 9,16.0
EC1V 4JW,EC1V 4,6.0
PO12 4ER,PO12 4,22.0
SW1P 4FE,SW1P 4,13.0
BN21 2LL,BN21 2,14.0
HA4 9TH,HA4 9,14.0
NW2 1WR,NW2 1,11.0
SE10 8UN,SE10 8,10.0
KT15 2QF,KT15 2,11.0
EC2Y 5HN,EC2Y 5,
UB10 9HY,UB10 9,17.0
E7 8JP,E7 8,19.0
PO13 9DJ,PO13 9,15.0
GU14 6EW,GU14 6,11.0
IG2 6DN,IG2 6,14.0
SO24 9DE,SO24 9,9.0
SE1 7NZ,SE1 7,8.0
NW9 7AR,NW9 7,10.0
E18 2JT,E18 2,17.0
GU6 8DY,GU6 8,7.0
RG23 7HS,RG23 7,10.0
TN4 8UA,TN4 8,11.0
RM3 9JB,RM3 9,15.0
ME15 9JT,ME15 9,12.0
TW3 1HB,TW3 1,9.0
TN6 2DU,TN6 2,11.0
N6 5LL,N6 5,14.0
SL3 0JR,SL3 0,6.0
HP22 6EJ,HP22 6,12.0
TN11 0AH,TN11 0,7.0
WC2H 9JN,WC2H 9,2.0
SL6 8JW,SL6 8,8.0
SM3 8QN,SM3 8,13.0
TW9 2BX,TW9 2,9.0
SW1A 2AA,SW1A 2,
GU8 5SD,GU8 5,10.0
PO8 8HP,PO8 8,14.0
CT19 4DX,CT19 4,14.0
EN5 4EU,EN5 4,8.0
CT2 9LU,CT2 9,10.0
E8 1GP,E8 1,15.0
WC2B 5ER,WC2B 5,3.0
EN5 3AH,EN5 3,9.0
GU34 2SU,GU34 2,12.0
SS0 9BS,SS0 9,17.0
W3 6QF,W3 6,14.0
W1T 5BG,W1T 5,5.0
W1W 7QW,W1W 7,2.0
KT15 3AN,KT15 3,13.0
BN18 0SR,BN18 0,10.0
SL2 3UU,SL2 3,8.0
RH13 8GG,RH13 8,9.0
SS1 2RD,SS1 2,18.0
RG1 2JW,RG1 2,6.0
N8 0JQ,N8 0,16.0
TN33 0QT,TN33 0,10.0
PO16 0TL,PO16 0,9.0
