postcode,easting,northing,river_level,tide_level,rainfall_level
SE26 6EQ,534944,170828,0.090395833,1.453,0.008333333
E17 5YF,536694,190269,1.050166667,1.289,0.0
PO33 4NP,453627,92467,0.103291667,1.189,0.0
TN6 1AL,551526,131255,0.246114583,1.453,0.008333333
SO30 4DU,448558,112337,0.144351064,1.189,0.0
BN13 3RE,510522,104453,-3.331583333,1.453,0.008333333
SS17 0HT,568380,182502,0.466239583,1.289,0.0
TN1 2JT,559022,139664,1.194522222,1.453,0.0
BH24 4AT,422317,102911,0.1148125,0.743,0.0
OX33 1SF,459526,205542,4.346166667,1.189,0.0
E2 6QJ,534500,183200,5.802614583,1.453,0.008333333
SW16 1SE,529310,171638,0.883375,1.453,0.029166667
SW6 5TJ,525067,176936,1.24978125,1.453,0.0
ME20 6HD,571572,157903,0.45975,1.289,0.004166667
PO17 5LL,457408,111469,0.299135417,1.189,0.0
W3 8JU,519389,178825,0.398427083,1.453,0.0
SS4 3LW,586056,194401,0.466239583,1.289,0.0
RH8 0PR,539577,152798,0.04415625,1.453,0.0
E14 9DB,537195,179969,0.050947917,1.453,0.008333333
CT9 3XP,637354,169837,0.22603125,1.36,0.0
HA0 4JX,518236,184392,0.076614583,1.453,0.0
KT11 2DT,512541,161111,1.17375,1.453,0.0
SS8 9PZ,578988,184670,0.466239583,1.289,0.008333333
TN9 2SX,558503,145828,1.194522222,1.453,0.0
HP21 9BW,484405,212545,0.463333333,1.189,0.0
BN21 3PN,561724,99106,0.1488125,1.453,0.0
N1 3EX,532563,183849,5.802614583,1.453,0.0
RG5 4JL,476404,173129,0.205104167,1.189,0.0
W7 3UB,515225,180048,0.875697917,1.453,0.0
BR5 3SN,546637,168209,0.580947917,1.453,0.0
OX11 0SH,449007,185867,0.51878125,1.189,0.004166667
BN13 2DQ,512896,104980,-3.331583333,1.453,0.008333333
CR2 8QN,535384,160823,0.259770833,1.453,0.008333333
W8 7AJ,525122,179996,1.24978125,1.453,0.0
SW1P 4AG,529802,178696,0.883375,1.453,0.008333333
SS15 5LQ,569036,188879,0.466239583,1.289,0.008333333
SW6 1BJ,525319,177209,1.24978125,1.453,0.0
SS11 8BZ,575881,193032,0.466239583,1.289,0.008333333
SS14 3NQ,572930,189970,0.466239583,1.289,0.008333333
TN17 4AY,580809,134181,0.233145833,1.289,0.004166667
SE5 8SX,532704,176593,0.087645833,1.453,0.008333333
SE9 1DU,542787,174870,0.196427083,1.453,0.0
MK18 3QT,477308,228418,0.16990625,1.189,0.0
RH11 8XL,524963,135458,0.835739583,1.453,0.008333333
KT1 2SU,518378,168456,0.186958333,1.453,0.0
SS0 7AY,587527,186010,0.150145833,1.289,0.0
HP9 1EE,493023,190251,0.095229167,1.189,0.0
HP21 7SX,482669,213285,1.073583333,1.189,0.0
RH10 9AU,527831,138520,0.549875,1.453,0.004166667
TN12 5LD,566050,148532,1.667,1.289,0.008333333
RG9 1EH,476440,181646,0.143645833,1.189,0.0
CT14 7FT,637521,152510,0.163479167,1.36,0.004166667
SW3 1QF,527513,179370,1.088635417,1.453,0.0
CR5 2XL,528756,160669,0.12365625,1.453,0.029166667
SO40 8GL,434550,113550,0.465875,1.189,0.008333333
ME14 1RF,575973,156176,0.329989583,1.289,0.004166667
SW6 6BT,524215,177239,1.24978125,1.453,0.0
E5 0AX,535635,185988,5.802614583,1.453,0.0
BR2 6BZ,541983,164908,0.897697917,1.453,0.008333333
E1 0JW,535766,181018,5.802614583,1.453,0.008333333
OX14 4FY,447789,194889,0.120947917,1.189,0.0
W8 6PD,525146,179004,1.24978125,1.453,0.0
SS6 9NN,581168,192485,0.466239583,1.289,0.0
DA14 4PR,548284,172697,0.304677083,1.289,0.0
BR6 9BB,547704,165514,0.4166875,1.453,0.0
EN5 5LZ,525578,196594,0.146125,1.453,0.0
SM5 1PT,526888,166514,-0.0084375,1.453,0.029166667
KT19 0PH,521940,164709,0.209322917,1.453,0.008333333
NW6 2HB,525142,184495,0.083416667,1.453,0.0
RM16 4BP,564417,178293,0.117114583,1.289,0.0
W11 1LL,524543,181412,0.083416667,1.453,0.0
RH4 3JY,513953,148087,0.1686875,1.453,0.0
NW3 5UE,526748,185517,0.795927083,1.453,0.0
SO42 7UE,430063,100959,0.026270833,0.743,0.0
KT1 2LF,517801,168101,0.186958333,1.453,0.0
BN3 2WL,528627,104378,1.18546875,1.453,0.016666667
PO30 5SJ,448680,89147,0.103291667,1.189,0.008333333
PO10 8DH,475900,102900,0.24828125,1.189,0.0
PO38 1NG,456746,77619,0.353510417,1.189,0.0
SS7 3HD,578562,188787,0.466239583,1.289,0.008333333
SO51 0LH,431804,126605,0.159,0.743,0.008333333
IG3 9TJ,545422,186734,2.946239583,1.289,0.0125
ME16 9JD,573114,154697,1.300760417,1.289,0.004166667
BR2 9FY,541805,167437,0.897697917,1.453,0.008333333
CR4 3AU,527349,168797,-0.0084375,1.453,0.029166667
RG7 5LQ,460819,169597,1.119354167,1.189,0.0
UB6 9DP,514209,182105,0.192822917,1.453,0.0
RG31 6UA,465878,174941,0.130697917,1.189,0.004166667
GU31 5AL,478431,125766,0.113354167,1.189,0.0
RH17 5SG,524835,121929,0.38971875,1.453,0.0
HA3 8QH,516505,189972,0.073614583,1.453,0.0
SW1P 4HN,529929,178765,0.883375,1.453,0.008333333
SO16 4AR,438466,113706,0.044114583,1.189,0.004166667
DA11 9NP,563735,173947,0.117114583,1.289,0.0
PO7 7EJ,467008,110265,0.049885417,1.189,0.004166667
SW10 0DN,526719,177468,1.088635417,1.453,0.0
SS16 5QR,569773,187992,0.466239583,1.289,0.008333333
SS5 4RF,583428,192531,0.466239583,1.289,0.0
BN18 9BL,501441,107141,0.329739583,1.189,0.0
SW4 0EX,529094,175949,0.883375,1.453,0.029166667
PO1 3EE,463100,100355,0.532385417,1.189,0.0
N20 8BF,524918,194185,0.268125,1.453,0.0
SL6 6RH,482412,182165,0.110395833,1.189,0.0
E4 6TS,538246,194065,0.22075,1.289,0.016666667
SS2 5GE,588125,186803,0.150145833,1.289,0.0
RG7 1PX,472090,165555,0.15434375,1.189,0.0
PO33 1BA,459890,91126,0.5180625,1.189,0.0
W4 3BF,519054,178028,0.398427083,1.453,0.0
HP13 6JT,488007,193791,1.229729167,1.189,0.0
KT5 8QE,518920,167517,0.051541667,1.453,0.0
SW9 9PE,530335,175767,0.883375,1.453,0.008333333
HP12 4LP,484124,192461,0.169916667,1.189,0.0
BR6 9DJ,547078,164431,0.4166875,1.453,0.0
NW6 6BN,524796,183450,0.083416667,1.453,0.0
SS9 2NW,582936,186194,0.466239583,1.289,0.008333333
RH7 6AT,536071,146368,0.926635417,1.453,0.008333333
BN26 5NX,557571,103409,0.1488125,1.453,0.0
BN26 5NX,557571,103409,0.1488125,1.453,0.008333333
TN1 2PA,559099,140111,1.194522222,1.453,0.0
SW3 1HP,527321,179273,1.088635417,1.453,0.0
RG30 3JH,468637,171577,6.67753125,1.189,0.0
TW18 2QU,504301,170522,0.485197917,1.453,0.0
HP27 0JW,480979,203821,0.294760417,1.189,0.0
SW1Y 6BN,529361,180332,0.795927083,1.453,0.0
SO15 5EF,440815,113159,0.044114583,1.189,0.004166667
GU12 6SG,489055,150992,0.69434375,1.189,0.0
KT16 9BB,504127,166730,0.487875,1.453,0.0
PO4 8GR,466420,100007,0.049885417,1.189,0.0
PO12 2LD,460042,98710,0.532385417,1.189,0.0
ME17 3AT,581175,148267,0.2119375,1.289,0.0
TN9 1TX,558729,146077,1.194522222,1.453,0.0
TN22 5RT,551063,121136,0.241614583,1.453,0.008333333
OX11 8US,453210,189975,0.1175,1.189,0.0
TN14 6JR,548556,151902,0.105166667,1.453,0.0
TN14 7JF,548326,159884,0.105166667,1.453,0.0
RH19 3NS,540366,140411,0.926635417,1.453,0.0
BH25 7HX,423596,93515,0.1148125,0.743,0.0
BN5 9BD,523620,118114,0.38971875,1.453,0.0
NW10 9TU,521492,184595,0.120166667,1.453,0.0
TN11 9QH,556977,151131,1.194522222,1.453,0.0
DA11 8AX,562656,172855,0.117114583,1.289,0.0
SE18 6RP,544028,178658,2.946239583,1.289,0.0125
W1T 3PF,529333,181436,0.795927083,1.453,0.0
SO53 3HE,442803,119521,0.095041667,1.189,0.0
UB7 8HN,506402,180437,0.800291667,1.453,0.0
CT16 1QY,632273,141582,0.163479167,1.36,0.004166667
CM15 9NN,559237,195407,0.40121875,1.289,0.0
TN22 5DH,547465,120501,0.35525,1.453,0.0125
SS7 4DT,576896,188992,0.466239583,1.289,0.008333333
PO18 8UB,479541,106874,0.25321875,1.189,0.0
SL4 5JQ,495434,177250,0.102864583,1.189,0.0
